titulo,precioUnitario,precioCantidad,stock,subCategoria,@imagen,
Alfajor Suschen 3 blanco/negro x24,$6490,,,Golosinas,/img/Alimentos/Golosinas/alfajorSuschen3.png,
Bombones Oblibon,$6490,,,Golosinas,/img/Alimentos/Golosinas/oblibonClas.png,
Caramelos duros marengo acido,,$3590,,Golosinas,/img/Alimentos/Golosinas/marengoAcido.png,
Caramelos Surtidos Marengo ,,$3590,,Golosinas,/img/Alimentos/Golosinas/surtidoMarengo.png,
Caramelos Frutas Marengo,,$3590,,Golosinas,/img/Alimentos/Golosinas/caramFrutaMarengo.png,
Caramelo misky toffees x118un,,$7990,,Golosinas,/img/Alimentos/Golosinas/carameloMisky.png,
Caramelo masticable Taponazo,$1790,,,Golosinas,/img/Alimentos/Golosinas/caramTaponazo.png,
Masticable en Pote Pico Dulce,$3390,,,Golosinas,/img/Alimentos/Golosinas/picoDulceMasti.png,
Chicle Fierita,$2990,,,Golosinas,/img/Alimentos/Golosinas/chicleFierita.png,
Chocolate Hamlet way,,$9090,,Golosinas,/img/Alimentos/Golosinas/chocolateHamlet.png,$9090
Chupaleta Marengo x24 ,,$2790,,Golosinas,/img/Alimentos/Golosinas/chupaleta.png,
Chupetin Bola Loca,$3290,,,Golosinas,/img/Alimentos/Golosinas/chupetinChicle.png,
Chupetin Pepa Pig 14unid,$1849,,,Golosinas,/img/Alimentos/Golosinas/paletaPeppa.png,
Heladito mil colores 25unid,$1649,,,Golosinas,/img/Alimentos/Golosinas/healdoMil.png,
Paleta Multicolor Chica 25unid,$2890,,,Golosinas,/img/Alimentos/Golosinas/paletaMultiChica.png,
Paleta Multicolor Grande 10unid,$2890,,,Golosinas,/img/Alimentos/Golosinas/paletaMultiGrande.png,
Super Pico 14umid,$1890,,,Golosinas,/img/Alimentos/Golosinas/superPico.png,
Chupete Cristal 25unid,$2890,,,Golosinas,/img/Alimentos/Golosinas/chupeCristal.png,
Melon Carioca 25unid,$2590,,,Golosinas,/img/Alimentos/Golosinas/melonOjo.png,
Paleta Artesanal Nro 1 x12unid,$2490,,,Golosinas,/img/Alimentos/Golosinas/paleta1.png,
Melon con Ojo 20unid,$3190,,,Golosinas,/img/Alimentos/Golosinas/melonCarioca.png,
Super Pirulin 30unid,$2390,,,Golosinas,/img/Alimentos/Golosinas/superPiru.png,
Chupetin Cosmos 40unid,$3390,,,Golosinas,/img/Alimentos/Golosinas/chupetinCosmos.png,
Garrapiñada Mielcita 80gr x15,$590,,,Golosinas,/img/Alimentos/Golosinas/garrapiMiel.png,
Turron de mani navideño Namur,$890,,,Golosinas,/img/Alimentos/Golosinas/turronNamur.png,
Pé de moleque ,$2390,,,Golosinas,/img/Alimentos/Golosinas/pe.png,
Gomitas Tubo Fierita 30u,$6990,,,Golosinas,/img/Alimentos/Golosinas/gomitasFierita.png,
Juguito para congelar,$4390,,,Golosinas,/img/Alimentos/Golosinas/jugoMandu.png,
Heladito Seco x50,,$20900,,Golosinas,/img/Alimentos/Golosinas/heladitos.png,
Mentitas ,$4290,,,Golosinas,/img/Alimentos/Golosinas/mentitasLacasa.png,
Merengues x50,$20900,,,Golosinas,/img/Alimentos/Golosinas/merengues.png,
Chizitos 1kg Rusitos,$4490,,,Golosinas,/img/Alimentos/Golosinas/chizitosRusitos1kg.png,
Chizitos 1Kg Alemanitos,$3449,,,Golosinas,/img/Alimentos/Golosinas/chiziAle.png,
Conitos De Queso 45g Rusitos,$795,,,Golosinas,/img/Alimentos/Golosinas/conitoQueso.png,
Palitos Salados Rusitos,$749,,,Golosinas,/img/Alimentos/Golosinas/palitosSaladosRusitos.png,
Papas Fritas 70g x12,$899,,,Golosinas,/img/Alimentos/Golosinas/papasRusitos.png,
Tutuca Rusitos 1Kg,$4490,,,Golosinas,/img/Alimentos/Golosinas/tutucaRusitos1.png,
Sagu Saborizado,$2190,,,Golosinas,/img/Alimentos/Golosinas/saguSabor.png,
Surtido Especial,$5090,,,Golosinas,/img/Alimentos/Golosinas/bombonSurtido.png,
Tic Tac x12,,$8690,,Golosinas,/img/Alimentos/Golosinas/ticTac.png,